Word|Definition|Sentence|Mnemonic|Tag
adventure|冒险；冒险精神；投机活动冒险；大胆说出i. 冒险|This adventure helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advertise|通知；为…做广告；使突出i. 做广告，登广告；作宣传|He always advertises on weekends.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advertisement|广告，宣传|This advertisement helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advice|建议；忠告；劝告；通知|The advice is very important in daily life.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advise|建议；劝告，忠告；通知；警告i. 建议；与…商量|He always advises on weekends.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
aeroplane|飞机（等于airplane）|She bought a new aeroplane yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
affair|事情；事务；私事；（尤指关系不长久的）风流韵事|She bought a new affair yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
affect|情感；引起感情的因素影响；感染；感动；假装i. 倾向；喜欢|She bought a new affect yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
affection|喜爱，感情；影响；感染|This affection helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
afford|给予，提供；买得起|He always affords on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
afraid|害怕的；恐怕；担心的|The movie was quite afraid.|联想记忆：结合语境多读多用！|Gaokao-Core
after|在……之后在……之后以后的后来，以后|It was a very after day.|联想记忆：结合语境多读多用！|Gaokao-Core
afternoon|午后，下午|This afternoon helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
again|又，此外；再一次；再说；增加（英、保）阿盖恩|This again helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
against|反对，违反；靠；倚；防备不利的；对立的|The movie was quite against.|联想记忆：结合语境多读多用！|Gaokao-Core
age|年龄；时代；寿命，使用年限；阶段使成熟；使变老，使上年纪i. 成熟；变老|This age helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
aged|老化（age的过去式）；成熟；变老年老的；…岁的；老年人特有的|She felt aged after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
agency|代理，中介；代理处，经销处|She bought a new agency yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
agent|代理人，代理商；药剂；特工代理的由…作中介；由…代理|She bought a new agent yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
aggressive|侵略性的；好斗的；有进取心的；有闯劲的|She felt aggressive after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
ago|以前的；过去的以前，以往|She felt ago after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
agree|i.i. 同意，意见一致；约定，商定同意，赞成；承认；约定，商定|Don't agreeed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
agreeable|令人愉快的；适合的；和蔼可亲的|She felt agreeable after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
agriculture|农业；农耕；农业生产；农艺，农学|The agriculture is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
ahead|向前；在前的；领先向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来|She felt ahead after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
aid|援助；帮助；助手；帮助者援助；帮助；有助于i. 帮助|The aid is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
AIDS|获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）|This AIDS helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
Aids||She bought a new Aids yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
aim|目的；目标；对准目的在于；引导；把…对准i. 打算；对准目标；瞄准|This aim helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
air|空气，大气；天空；样子；曲调使通风，晾干；夸耀i. 通风|The air is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
air-conditioned|备有空调装置的给…装上空调器；用空调器调节（air-condition的过去分词）|It was a very air-conditioned day.|联想记忆：结合语境多读多用！|Gaokao-Core
aircraft|飞机，航空器|This aircraft helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
airline|航空公司；航线航线的|The airline is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
airmail|航空邮件|She bought a new airmail yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
airport|机场；航空站|She bought a new airport yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
alarm|闹钟；警报，警告器；惊慌警告；使惊恐|She bought a new alarm yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
album|相簿；唱片集；集邮簿；签名纪念册|She bought a new album yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
alcohol|酒精，乙醇|The alcohol is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
alcoholic|酒鬼，酗酒者酒精的，含酒精的|She bought a new alcoholic yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
alert|警戒，警惕；警报警惕的，警觉的；留心的警告；使警觉，使意识到|This alert helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
alike|相似的；相同的以同样的方式；类似于|She felt alike after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
alive|活着的；活泼的；有生气的|She felt alive after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
all|全部全部的全然地；越发全部|This all helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
allow|i. 容许；考虑允许；给予；认可|He always allows on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
almost|差不多，几乎|They worked almost to meet the deadline.|联想记忆：结合语境多读多用！|Gaokao-Core
alone|独自的；单独的；孤独的独自地；单独地|She felt alone after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
along|沿着；顺着一起；向前；来到|He spoke along.|联想记忆：结合语境多读多用！|Gaokao-Core
alongside|在……旁边在旁边|She finished her homework alongside.|联想记忆：结合语境多读多用！|Gaokao-Core
aloud|大声地；出声地|He spoke aloud.|联想记忆：结合语境多读多用！|Gaokao-Core
alphabet|字母表，字母系统；入门，初步Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。|The alphabet is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
already|已经，早已；先前|She finished her homework already.|联想记忆：结合语境多读多用！|Gaokao-Core
also|并且；另外也；而且；同样|She finished her homework also.|联想记忆：结合语境多读多用！|Gaokao-Core
alter|改变，更改i. 改变；修改|Don't altered your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
alternative|二中择一；供替代的选择供选择的；选择性的；交替的|She bought a new alternative yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
although|尽管；虽然；但是；然而|The although is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
altogether|整个；裸体完全地；总共；总而言之|This altogether helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
always|永远，一直；总是；常常|They worked always to meet the deadline.|联想记忆：结合语境多读多用！|Gaokao-Core
a.m.|上午，午前（ante meridiem）|The a.m. is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
amateur|爱好者；业余爱好者；外行业余的；外行的|The amateur is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
amaze|使吃惊|Don't amazeed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
ambition|野心，雄心；抱负，志向追求；有…野心|The ambition is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
ambulance|救护车；战时流动医院|This ambulance helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
among|在…中间；在…之中|This among helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
amount|数量；总额，总数i. 总计，合计；相当于；共计；产生…结果|She bought a new amount yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
amuse|娱乐；消遣；使发笑；使愉快|He always amuses on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
amusement|消遣，娱乐；乐趣|This amusement helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
an|art. 一（在元音音素前）|She bought a new an yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
analysis|分析；分解；验定|This analysis helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
analyze|对…进行分析，分解（等于analyse）|He always analyzes on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
ancestor|始祖，祖先；被继承人|She bought a new ancestor yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
ancient|古代人；老人古代的；古老的，过时的；年老的|The ancient is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
and|和，与；就；而且；但是；然后|This and helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
anger|怒，愤怒；忿怒使发怒，激怒；恼火i. 发怒；恼火|This anger helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
angle|角度，角，方面i. 钓鱼；谋取|This angle helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
angry|生气的；愤怒的；狂暴的；（伤口等）发炎的|It was a very angry day.|联想记忆：结合语境多读多用！|Gaokao-Core
animal|动物 动物的|The animal is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
ankle|踝关节，踝|This ankle helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
anniversary|周年纪念日|The anniversary is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
announce|宣布；述说；预示；播报i. 宣布参加竞选；当播音员|Don't announceed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
announcement|公告；宣告；发表；通告|The announcement is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
announcer|广播员；宣告者|The announcer is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
annoy|烦恼（等于annoyance）骚扰；惹恼；打搅i. 惹恼；令人讨厌；打搅|She bought a new annoy yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
annual|年刊，年鉴；一年生植物年度的；每年的|This annual helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
another|另一个；另一个人又一，另一；另外的；不同的另一个；又一个|This another helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
answer|回答；答案；答辩回答；符合i. 回答；符合|The answer is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
ant|蚂蚁|The ant is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
antipollution|防止环境污染的，防污染的; 反污染|She felt antipollution after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
anxious|焦虑的；担忧的；渴望的；急切的|It was a very anxious day.|联想记忆：结合语境多读多用！|Gaokao-Core
any|任何的；所有的；丝毫任何；任何一个；若干稍微；少许|The any is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
anybody|重要人物任何人|The anybody is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
anyhow|总之；无论如何；不管怎样|She finished her homework anyhow.|联想记忆：结合语境多读多用！|Gaokao-Core
anymore|再也不，不再|They worked anymore to meet the deadline.|联想记忆：结合语境多读多用！|Gaokao-Core
anyone|任何人；任何一个|The anyone is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
anything|任何事|She bought a new anything yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
anyway|无论如何，不管怎样；总之|She finished her homework anyway.|联想记忆：结合语境多读多用！|Gaokao-Core
anywhere|任何地方在任何地方；无论何处|This anywhere helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
apart|分离的；与众不同的相距；与众不同地；分离着|It was a very apart day.|联想记忆：结合语境多读多用！|Gaokao-Core
apartment|公寓；房间|She bought a new apartment yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
apologize|i. 道歉；辩解；赔不是道歉；谢罪；辩白|He always apologizes on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
apology|道歉；谢罪；辩护；勉强的替代物|She bought a new apology yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
apparent|显然的；表面上的|It was a very apparent day.|联想记忆：结合语境多读多用！|Gaokao-Core
appeal|呼吁，请求；吸引力，感染力；上诉；诉诸裁判将…上诉，对…上诉i. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判|She bought a new appeal yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
appear|i. 出现；显得；似乎；出庭；登场|Don't appeared your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
appearance|外貌，外观；出现，露面|She bought a new appearance yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
appetite|食欲；嗜好|This appetite helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
applaud|赞同；称赞；向…喝彩i. 喝彩；鼓掌欢迎|He always applauds on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
applause|欢呼，喝采；鼓掌欢迎|This applause helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
apple|苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。|She bought a new apple yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
appliance|器具；器械；装置|The appliance is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
applicant|申请人，申请者；请求者|This applicant helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
application|应用；申请；应用程序；敷用|The application is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
apply|i. 申请；涂，敷；适用；请求申请；涂，敷；应用|Don't applyed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
appoint|任命；指定；约定i. 任命；委派|He always appoints on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
appointment|任命；约定；任命的职位|The appointment is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
appreciate|i. 增值；涨价欣赏；感激；领会；鉴别|They appreciate together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
appreciation|欣赏，鉴别；增值；感谢|She bought a new appreciation yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
approach|方法；途径；接近接近；着手处理i. 靠近|The approach is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
appropriate|适当的；恰当的；合适的占用，拨出|He always appropriates on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
approve|i. 批准；赞成；满意批准；赞成；为…提供证据|He always approves on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
architect|建筑师 缔造者|This architect helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
architecture|建筑学；建筑风格；建筑式样；架构|She bought a new architecture yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
area|区域，地区；面积；范围|This area helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
argue|i. 争论，辩论；提出理由辩论，争论；证明；说服|They argue together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
argument|论证；论据；争吵；内容提要|The argument is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
arise|i. 出现；上升；起立|Don't ariseed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
arithmetic|算术，算法|The arithmetic is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
arm|手臂；武器；袖子；装备；部门武装；备战i. 武装起来|She bought a new arm yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
army|陆军，军队|This army helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
around|四处；在…周围大约；到处；在附近|He spoke around.|联想记忆：结合语境多读多用！|Gaokao-Core
arouse|引起；唤醒；鼓励i. 激发；醒来；发奋|They arouse together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
arrange|i. 安排；排列；协商安排；排列；整理|Don't arrangeed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
arrangement|布置；整理；准备|The arrangement is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
arrest|逮捕；监禁逮捕；阻止；吸引|This arrest helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
arrival|到来；到达；到达者|This arrival helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
arrive|i. 到达；成功；达成；出生|Don't arriveed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
arrow|箭，箭头；箭状物；箭头记号以箭头指示；箭一般地飞向|This arrow helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
art|艺术；美术；艺术品是（be的变体）艺术的；艺术品的|She bought a new art yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
article|文章；物品；条款； 冠词订约将…收为学徒或见习生；使…受协议条款的约束i. 签订协议；进行控告|The article is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
artificial|人造的；仿造的；虚伪的；非原产地的；武断的|It was a very artificial day.|联想记忆：结合语境多读多用！|Gaokao-Core
artist|艺术家；美术家（尤指画家）；大师|She bought a new artist yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
as|因为；随着；虽然；依照；当…时如同；当作；以…的身份同样地；和…一样的|He spoke as.|联想记忆：结合语境多读多用！|Gaokao-Core
ash|灰；灰烬|She bought a new ash yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
ashamed|惭愧的，感到难为情的；耻于……的|It was a very ashamed day.|联想记忆：结合语境多读多用！|Gaokao-Core
aside|在…旁边旁白；私语，悄悄话；离题的话离开，撇开；在旁边|This aside helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
ask|问，询问；要求；需要；邀请；讨价i. 问，询问；要求|They ask together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
asleep|睡着的；麻木的；长眠的熟睡地；进入睡眠状态|The movie was quite asleep.|联想记忆：结合语境多读多用！|Gaokao-Core
aspect|方面；方向；形势；外貌|She bought a new aspect yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
aspirin|阿司匹林（解热镇痛药）|This aspirin helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
assemble|集合，聚集；装配；收集i. 集合，聚集|Don't assembleed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
assess|评定；估价；对…征税|They assess together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
assign|分配；指派； 赋值i. 将财产过户（尤指过户给债权人）|They assign together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
assist|帮助；助攻i. 参加；出席帮助；促进|She bought a new assist yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
assistant|助手，助理，助教辅助的，助理的；有帮助的|This assistant helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
associate|同事，伙伴；关联的事物副的；联合的联想；使联合；使发生联系i. 交往；结交|She bought a new associate yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
association|协会，联盟，社团；联合；联想|She bought a new association yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
